time,actual_sale,baseline_forecast,advanced_forecast,no_forecast,promo,Environmental_Impact
1,1999.411765,1764.764706,NA,NA,No Pro,Uncertain
2,2324.117647,1758.764706,NA,NA,Yes,Negative
3,1827.647059,1929.411765,NA,NA,No Pro,Uncertain
4,2040.588235,1877,NA,NA,No Pro,Uncertain
5,1955.294118,2000.117647,NA,NA,No Pro,Uncertain
6,2060,2135.294118,NA,NA,No Pro,Uncertain
7,1763.529412,1764.705882,NA,NA,No Pro,Uncertain
8,2667.647059,1741.176471,NA,NA,Yes,Positive
9,2061.176471,1887.823529,NA,NA,No Pro,Uncertain
10,2088.235294,1928.235294,NA,NA,No Pro,Uncertain
11,2018.235294,1947.058824,NA,NA,No Pro,Uncertain
12,1977.647059,1870.764706,NA,NA,No Pro,Uncertain
13,1991.176471,2002.294118,NA,NA,No Pro,Uncertain
14,2725.294118,1887.647059,NA,NA,Yes,Positive
15,1688.823529,1751.882353,NA,NA,No Pro,Uncertain
16,1932.941176,1823.529412,NA,NA,No Pro,Uncertain
17,2058.823529,2032.588235,NA,NA,No Pro,Uncertain
18,1881.176471,1840.588235,NA,NA,No Pro,Uncertain
19,2599.411765,1823.705882,NA,NA,Yes,Positive
20,1822.352941,1702.352941,NA,NA,No Pro,Uncertain
21,1719.411765,1691.117647,NA,NA,No Pro,Uncertain
22,1508.235294,1573.411765,NA,NA,No Pro,Uncertain
23,1508.235294,1557.294118,NA,NA,No Pro,Uncertain
24,1551.764706,1674.941176,NA,NA,No Pro,Uncertain
25,NA,1752.941176,NA,NA,Yes,Negative
