time,actual_sale,baseline_forecast,advanced_forecast,no_forecast,promo,Environmental_Impact,,,,,,
1,3856.426761,NA,3850.058394,NA,No Pro,Uncertain,,,7184.999808,7080.409799,3856.426761,3850.058394
2,3880.985433,NA,3814.996834,NA,No Pro,Uncertain,,,7603.007748,6531.257911,3880.985433,3814.996834
3,3902.764346,NA,3821.073771,NA,No Pro,Uncertain,,,7994.003724,6623.289994,3902.764346,3821.073771
4,4261.096253,NA,4258.416666,NA,No Pro,Uncertain,,,18242.9998,18130.78741,4261.096253,4258.416666
5,3863.441816,NA,3777.688378,NA,No Pro,Uncertain,,,7301.999796,5993.608583,3863.441816,3777.688378
6,3882.695699,NA,3808.770002,NA,No Pro,Uncertain,,,7633.007676,6438.282109,3882.695699,3808.770002
7,3885.869845,NA,3810.656449,NA,No Pro,Uncertain,,,7688.999724,6466.308924,3885.869845,3810.656449
8,4274.065338,NA,4249.074543,NA,Yes,Positive,,,18795.99574,17744.94031,4274.065338,4249.074543
9,3882.639032,NA,3851.54188,NA,No Pro,Uncertain,,,7632.011772,7104.636778,3882.639032,3851.54188
10,3872.681057,NA,3862.084821,NA,No Pro,Uncertain,,,7459.007724,7279.219601,3872.681057,3862.084821
11,3893.317576,NA,3859.660112,NA,No Pro,Uncertain,,,7821.995748,7238.692223,3893.317576,3859.660112
12,3911.157172,NA,3865.65366,NA,No Pro,Uncertain,,,8149.991808,7339.283434,3911.157172,3865.65366
13,4043.991288,NA,3861.866458,NA,No Pro,Uncertain,,,11066.01586,7275.560528,4043.991288,3861.866458
14,4240.898337,NA,4252.31462,NA,Yes,Negative,,,17413.99187,17877.82247,4240.898337,4252.31462
15,3848.926956,NA,3846.712297,NA,No Pro,Uncertain,,,7061.987688,7026.067158,3848.926956,3846.712297
16,3901.131458,NA,3856.449711,NA,No Pro,Uncertain,,,7964.003796,7185.379499,3901.131458,3856.449711
17,3917.820052,NA,3862.853801,NA,No Pro,Uncertain,,,8275.991808,7292.119896,3917.820052,3862.853801
18,3913.866374,NA,3850.919524,NA,No Pro,Uncertain,,,8200.991736,7094.46293,3913.866374,3850.919524
19,3923.296039,NA,3839.644209,NA,No Pro,Uncertain,,,8381.00382,6912.644286,3923.296039,3839.644209
20,4057.627909,NA,3987.117516,NA,No Pro,Uncertain,,,11418.9957,9707.726127,4057.627909,3987.117516
21,4271.585872,NA,4178.320085,NA,Yes,Positive,,,18688.99175,15077.17878,4271.585872,4178.320085
22,3913.071937,NA,3879.531177,NA,No Pro,Uncertain,,,8186.0037,7577.591294,3913.071937,3879.531177
23,3903.740493,NA,3860.854766,NA,No Pro,Uncertain,,,8011.991736,7258.631781,3903.740493,3860.854766
24,3947.335277,NA,3893.033593,NA,No Pro,Uncertain,,,8857.991856,7816.882667,3947.335277,3893.033593
25,NA,NA,4324,NA,Yes,Positive,,,8813.999796,7735.993932,3945.173036,3888.51612
