time,actual_sale,baseline_forecast,advanced_forecast,no_forecast,promo,Environmental_Impact
1,3527.00,NA,2988.37,NA,Yes,Positive
2,1434.33,NA,1266.33,NA,No Pro,Uncertain
3,1467.17,NA,1262.14,NA,No Pro,Uncertain
4,1424.67,NA,1285.76,NA,No Pro,Uncertain
5,1564.67,NA,1376.05,NA,No Pro,Uncertain
6,1205.83,NA,958.05,NA,No Pro,Uncertain
7,1507.67,NA,985.21,NA,No Pro,Uncertain
8,3937.83,NA,3078.42,NA,Yes,Positive
9,1475.00,NA,1343.34,NA,No Pro,Uncertain
10,1373.00,NA,1332.31,NA,No Pro,Uncertain
11,1513.00,NA,1204.47,NA,No Pro,Uncertain
12,1503.34,NA,1403.25,NA,No Pro,Uncertain
13,1511.83,NA,1387.07,NA,No Pro,Uncertain
14,1444.50,NA,1340.04,NA,No Pro,Uncertain
15,1475.67,NA,1393.81,NA,No Pro,Uncertain
16,1405.67,NA,1369.73,NA,No Pro,Uncertain
17,1454.00,NA,1371.65,NA,No Pro,Uncertain
18,2891.00,NA,3842.95,NA,Yes,Negative
19,2204.00,NA,3835.68,NA,Yes,Negative
20,1240.00,NA,1384.00,NA,No Pro,Uncertain
21,1340.17,NA,1219.55,NA,No Pro,Uncertain
22,1264.00,NA,1132.80,NA,No Pro,Uncertain
23,1260.00,NA,1247.70,NA,No Pro,Positive
24,1216.17,NA,1287.32,NA,No Pro,Uncertain
25,NA,NA,3535.00,NA,Yes,Positive
